"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Age_Group","Ethnicity","Ethnicity_type","Sex","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Pakistani","ONS 2021 19+1","Male","0.842416084","% of Total Age Group Population","5.352428846","% of Total Ethnic Group Population","42680","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Asian Background","ONS 2021 19+1","All","0.606665684","% of Total Age Group Population","6.899263455","% of Total Ethnic Group Population","67115","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Asian Background","ONS 2021 19+1","Female","0.647955908","% of Total Age Group Population","7.514238471","% of Total Ethnic Group Population","38855","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Asian Background","ONS 2021 19+1","Male","0.557794717","% of Total Age Group Population","6.201448321","% of Total Ethnic Group Population","28260","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Black","ONS 2021 5+1","All","1.405595082","% of Total Age Group Population","6.454384519","% of Total Ethnic Group Population","155500","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Black","ONS 2021 5+1","Female","1.504948679","% of Total Age Group Population","7.124558391","% of Total Ethnic Group Population","90245","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Black","ONS 2021 5+1","Male","1.288000505","% of Total Age Group Population","5.711397413","% of Total Ethnic Group Population","65255","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Black African","ONS 2021 19+1","All","0.474467433","% of Total Age Group Population","3.526771617","% of Total Ethnic Group Population","52490","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Black African","ONS 2021 19+1","Female","0.492366444","% of Total Age Group Population","3.785620412","% of Total Ethnic Group Population","29525","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Black African","ONS 2021 19+1","Male","0.453282225","% of Total Age Group Population","3.241789654","% of Total Ethnic Group Population","22965","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Black Caribbean","ONS 2021 19+1","All","0.824284344","% of Total Age Group Population","14.63442034","% of Total Ethnic Group Population","91190","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Black Caribbean","ONS 2021 19+1","Female","0.896432115","% of Total Age Group Population","15.94630673","% of Total Ethnic Group Population","53755","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Black Caribbean","ONS 2021 19+1","Male","0.73889049","% of Total Age Group Population","13.08824558","% of Total Ethnic Group Population","37435","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Black Background","ONS 2021 19+1","All","0.106843305","% of Total Age Group Population","3.969573321","% of Total Ethnic Group Population","11820","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Black Background","ONS 2021 19+1","Female","0.11615012","% of Total Age Group Population","4.654193117","% of Total Ethnic Group Population","6965","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Black Background","ONS 2021 19+1","Male","0.09582779","% of Total Age Group Population","3.277858421","% of Total Ethnic Group Population","4855","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed","ONS 2021 5+1","All","0.417656082","% of Total Age Group Population","2.689707162","% of Total Ethnic Group Population","46205","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed","ONS 2021 5+1","Female","0.434333075","% of Total Age Group Population","2.973139576","% of Total Ethnic Group Population","26045","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed","ONS 2021 5+1","Male","0.397917251","% of Total Age Group Population","2.394768571","% of Total Ethnic Group Population","20160","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Asian","ONS 2021 19+1","All","0.118187496","% of Total Age Group Population","2.678205653","% of Total Ethnic Group Population","13075","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Asian","ONS 2021 19+1","Female","0.116567026","% of Total Age Group Population","2.851780833","% of Total Ethnic Group Population","6990","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Asian","ONS 2021 19+1","Male","0.12010548","% of Total Age Group Population","2.50318812","% of Total Ethnic Group Population","6085","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Black African","ONS 2021 19+1","All","0.055545864","% of Total Age Group Population","2.462136389","% of Total Ethnic Group Population","6145","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Black African","ONS 2021 19+1","Female","0.059200707","% of Total Age Group Population","2.796376526","% of Total Ethnic Group Population","3550","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Black African","ONS 2021 19+1","Male","0.051220003","% of Total Age Group Population","2.116121667","% of Total Ethnic Group Population","2595","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Black Caribbean","ONS 2021 19+1","All","0.101419787","% of Total Age Group Population","2.187070553","% of Total Ethnic Group Population","11220","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Black Caribbean","ONS 2021 19+1","Female","0.103726309","% of Total Age Group Population","2.380223481","% of Total Ethnic Group Population","6220","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Black Caribbean","ONS 2021 19+1","Male","0.098689794","% of Total Age Group Population","1.986531318","% of Total Ethnic Group Population","5000","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","All","0.142502935","% of Total Age Group Population","3.375441602","% of Total Ethnic Group Population","15765","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Female","0.154839032","% of Total Age Group Population","3.826814491","% of Total Ethnic Group Population","9285","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Male","0.127901973","% of Total Age Group Population","2.887443187","% of Total Ethnic Group Population","6480","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","White","ONS 2021 5+1","All","93.6031413","% of Total Age Group Population","21.2637378","% of Total Ethnic Group Population","10355250","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","White","ONS 2021 5+1","Female","93.52911257","% of Total Age Group Population","22.5678078","% of Total Ethnic Group Population","5608520","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","White","ONS 2021 5+1","Male","93.69076145","% of Total Age Group Population","19.90473113","% of Total Ethnic Group Population","4746730","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","White British","ONS 2021 19+1","All","90.1228246","% of Total Age Group Population","22.47822344","% of Total Ethnic Group Population","9970225","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","White British","ONS 2021 19+1","Female","89.7412679","% of Total Age Group Population","23.85844663","% of Total Ethnic Group Population","5381380","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","White British","ONS 2021 19+1","Male","90.57443382","% of Total Age Group Population","21.0501436","% of Total Ethnic Group Population","4588845","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","White Irish","ONS 2021 19+1","All","1.474202585","% of Total Age Group Population","32.13881034","% of Total Ethnic Group Population","163090","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","White Irish","ONS 2021 19+1","Female","1.554143633","% of Total Age Group Population","35.35068088","% of Total Ethnic Group Population","93195","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","White Irish","ONS 2021 19+1","Male","1.379584634","% of Total Age Group Population","28.66605147","% of Total Ethnic Group Population","69895","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Gypsy or Irish Traveller","ONS 2021 19+1","All","0.044427652","% of Total Age Group Population","7.258898243","% of Total Ethnic Group Population","4915","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Gypsy or Irish Traveller","ONS 2021 19+1","Female","0.04244107","% of Total Age Group Population","7.504054253","% of Total Ethnic Group Population","2545","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Gypsy or Irish Traveller","ONS 2021 19+1","Male","0.046778962","% of Total Age Group Population","7.012871727","% of Total Ethnic Group Population","2370","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Roma","ONS 2021 19+1","All","0.02273358","% of Total Age Group Population","2.492690421","% of Total Ethnic Group Population","2515","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Roma","ONS 2021 19+1","Female","0.020595176","% of Total Age Group Population","2.7429206","% of Total Ethnic Group Population","1235","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Roma","ONS 2021 19+1","Male","0.025264587","% of Total Age Group Population","2.291032755","% of Total Ethnic Group Population","1280","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other White Background","ONS 2021 19+1","All","1.938952881","% of Total Age Group Population","5.848001843","% of Total Ethnic Group Population","214505","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other White Background","ONS 2021 19+1","Female","2.170664799","% of Total Age Group Population","6.662009172","% of Total Ethnic Group Population","130165","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other White Background","ONS 2021 19+1","Male","1.66469945","% of Total Age Group Population","4.920179796","% of Total Ethnic Group Population","84340","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Other","ONS 2021 5+1","All","0.815064364","% of Total Age Group Population","7.181741793","% of Total Ethnic Group Population","90170","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Other","ONS 2021 5+1","Female","0.774528687","% of Total Age Group Population","7.521213888","% of Total Ethnic Group Population","46445","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Other","ONS 2021 5+1","Male","0.863042251","% of Total Age Group Population","6.853179734","% of Total Ethnic Group Population","43725","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Arab","ONS 2021 19+1","All","0.144265579","% of Total Age Group Population","4.810199069","% of Total Ethnic Group Population","15960","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Arab","ONS 2021 19+1","Female","0.106144366","% of Total Age Group Population","4.084317248","% of Total Ethnic Group Population","6365","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Arab","ONS 2021 19+1","Male","0.189385715","% of Total Age Group Population","5.453098804","% of Total Ethnic Group Population","9595","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Ethnic Background","ONS 2021 19+1","All","0.670798785","% of Total Age Group Population","8.033558863","% of Total Ethnic Group Population","74210","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Ethnic Background","ONS 2021 19+1","Female","0.668384321","% of Total Age Group Population","8.681337723","% of Total Ethnic Group Population","40080","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Ethnic Background","ONS 2021 19+1","Male","0.673656536","% of Total Age Group Population","7.386326747","% of Total Ethnic Group Population","34130","5066380"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","All","All","All","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","56075912","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","All","All","Female","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","28502536","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","All","All","Male","100","% of Total Age Group Population","100","% of Total Ethnic Group Population","27573376","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Asian","ONS 2011 5+1","All","7.513976768","% of Total Age Group Population","100","% of Total Ethnic Group Population","4213531","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Asian","ONS 2011 5+1","Female","7.344518397","% of Total Age Group Population","100","% of Total Ethnic Group Population","2093374","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Asian","ONS 2011 5+1","Male","7.6891455","% of Total Age Group Population","100","% of Total Ethnic Group Population","2120157","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Bangladeshi","ONS 2011 18+1","All","0.797492157","% of Total Age Group Population","100","% of Total Ethnic Group Population","447201","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Bangladeshi","ONS 2011 18+1","Female","0.758985095","% of Total Age Group Population","100","% of Total Ethnic Group Population","216330","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Bangladeshi","ONS 2011 18+1","Male","0.837296818","% of Total Age Group Population","100","% of Total Ethnic Group Population","230871","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Chinese","ONS 2011 18+1","All","0.701087126","% of Total Age Group Population","100","% of Total Ethnic Group Population","393141","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Chinese","ONS 2011 18+1","Female","0.726647622","% of Total Age Group Population","100","% of Total Ethnic Group Population","207113","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Chinese","ONS 2011 18+1","Male","0.6746653","% of Total Age Group Population","100","% of Total Ethnic Group Population","186028","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Indian","ONS 2011 18+1","All","2.51972362","% of Total Age Group Population","100","% of Total Ethnic Group Population","1412958","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Indian","ONS 2011 18+1","Female","2.43149592","% of Total Age Group Population","100","% of Total Ethnic Group Population","693038","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Indian","ONS 2011 18+1","Male","2.610924393","% of Total Age Group Population","100","% of Total Ethnic Group Population","719920","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Pakistani","ONS 2011 18+1","All","2.00533698","% of Total Age Group Population","100","% of Total Ethnic Group Population","1124511","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Pakistani","ONS 2011 18+1","Female","1.923674441","% of Total Age Group Population","100","% of Total Ethnic Group Population","548296","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Pakistani","ONS 2011 18+1","Male","2.08975136","% of Total Age Group Population","100","% of Total Ethnic Group Population","576215","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other Asian Background","ONS 2011 18+1","All","1.490336885","% of Total Age Group Population","100","% of Total Ethnic Group Population","835720","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other Asian Background","ONS 2011 18+1","Female","1.503715319","% of Total Age Group Population","100","% of Total Ethnic Group Population","428597","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other Asian Background","ONS 2011 18+1","Male","1.476507628","% of Total Age Group Population","100","% of Total Ethnic Group Population","407123","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Black","ONS 2011 5+1","All","3.325652555","% of Total Age Group Population","100","% of Total Ethnic Group Population","1864890","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Black","ONS 2011 5+1","Female","3.391592945","% of Total Age Group Population","100","% of Total Ethnic Group Population","966690","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Black","ONS 2011 5+1","Male","3.257490124","% of Total Age Group Population","100","% of Total Ethnic Group Population","898200","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Black African","ONS 2011 18+1","All","1.764800544","% of Total Age Group Population","100","% of Total Ethnic Group Population","989628","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Black African","ONS 2011 18+1","Female","1.78871452","% of Total Age Group Population","100","% of Total Ethnic Group Population","509829","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Black African","ONS 2011 18+1","Male","1.740080721","% of Total Age Group Population","100","% of Total Ethnic Group Population","479799","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Black Caribbean","ONS 2011 18+1","All","1.060749578","% of Total Age Group Population","100","% of Total Ethnic Group Population","594825","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Black Caribbean","ONS 2011 18+1","Female","1.115297249","% of Total Age Group Population","100","% of Total Ethnic Group Population","317888","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Black Caribbean","ONS 2011 18+1","Male","1.004363775","% of Total Age Group Population","100","% of Total Ethnic Group Population","276937","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other Black Background","ONS 2011 18+1","All","0.500102433","% of Total Age Group Population","100","% of Total Ethnic Group Population","280437","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other Black Background","ONS 2011 18+1","Female","0.487581175","% of Total Age Group Population","100","% of Total Ethnic Group Population","138973","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other Black Background","ONS 2011 18+1","Male","0.513045628","% of Total Age Group Population","100","% of Total Ethnic Group Population","141464","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Mixed","ONS 2011 5+1","All","2.183468724","% of Total Age Group Population","100","% of Total Ethnic Group Population","1224400","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Mixed","ONS 2011 5+1","Female","2.150219195","% of Total Age Group Population","100","% of Total Ethnic Group Population","612867","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Mixed","ONS 2011 5+1","Male","2.217838686","% of Total Age Group Population","100","% of Total Ethnic Group Population","611533","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Mixed White and Asian","ONS 2011 18+1","All","0.6094007","% of Total Age Group Population","100","% of Total Ethnic Group Population","341727","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Mixed White and Asian","ONS 2011 18+1","Female","0.582548163","% of Total Age Group Population","100","% of Total Ethnic Group Population","166041","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Mixed White and Asian","ONS 2011 18+1","Male","0.637158105","% of Total Age Group Population","100","% of Total Ethnic Group Population","175686","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Mixed White and Black African","ONS 2011 18+1","All","0.29598092","% of Total Age Group Population","100","% of Total Ethnic Group Population","165974","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Mixed White and Black African","ONS 2011 18+1","Female","0.291128481","% of Total Age Group Population","100","% of Total Ethnic Group Population","82979","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Mixed White and Black African","ONS 2011 18+1","Male","0.300996875","% of Total Age Group Population","100","% of Total Ethnic Group Population","82995","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Mixed White and Black Caribbean","ONS 2011 18+1","All","0.760959536","% of Total Age Group Population","100","% of Total Ethnic Group Population","426715","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Mixed White and Black Caribbean","ONS 2011 18+1","Female","0.754704774","% of Total Age Group Population","100","% of Total Ethnic Group Population","215110","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Mixed White and Black Caribbean","ONS 2011 18+1","Male","0.76742507","% of Total Age Group Population","100","% of Total Ethnic Group Population","211605","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","All","0.517127568","% of Total Age Group Population","100","% of Total Ethnic Group Population","289984","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","Female","0.521837776","% of Total Age Group Population","100","% of Total Ethnic Group Population","148737","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","Male","0.512258637","% of Total Age Group Population","100","% of Total Ethnic Group Population","141247","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","White","ONS 2011 5+1","All","85.97166462","% of Total Age Group Population","100","% of Total Ethnic Group Population","48209395","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","White","ONS 2011 5+1","Female","86.23259699","% of Total Age Group Population","100","% of Total Ethnic Group Population","24578477","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","White","ONS 2011 5+1","Male","85.70193944","% of Total Age Group Population","100","% of Total Ethnic Group Population","23630918","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","White British","ONS 2011 18+1","All","80.4885456","% of Total Age Group Population","100","% of Total Ethnic Group Population","45134686","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","White British","ONS 2011 18+1","Female","80.57837029","% of Total Age Group Population","100","% of Total Ethnic Group Population","22966879","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","White British","ONS 2011 18+1","Male","80.39569402","% of Total Age Group Population","100","% of Total Ethnic Group Population","22167807","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","White Irish","ONS 2011 18+1","All","0.9470858","% of Total Age Group Population","100","% of Total Ethnic Group Population","531087","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","White Irish","ONS 2011 18+1","Female","0.970650471","% of Total Age Group Population","100","% of Total Ethnic Group Population","276660","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","White Irish","ONS 2011 18+1","Male","0.922727054","% of Total Age Group Population","100","% of Total Ethnic Group Population","254427","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Gypsy or Irish Traveller","ONS 2011 18+1","All","0.102860565","% of Total Age Group Population","100","% of Total Ethnic Group Population","57680","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Gypsy or Irish Traveller","ONS 2011 18+1","Female","0.102040043","% of Total Age Group Population","100","% of Total Ethnic Group Population","29084","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Gypsy or Irish Traveller","ONS 2011 18+1","Male","0.103708737","% of Total Age Group Population","100","% of Total Ethnic Group Population","28596","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other White Background","ONS 2011 18+1","All","4.433172661","% of Total Age Group Population","100","% of Total Ethnic Group Population","2485942","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other White Background","ONS 2011 18+1","Female","4.581536183","% of Total Age Group Population","100","% of Total Ethnic Group Population","1305854","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Any Other White Background","ONS 2011 18+1","Male","4.279809625","% of Total Age Group Population","100","% of Total Ethnic Group Population","1180088","27573376"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Other","ONS 2011 5+1","All","1.005237329","% of Total Age Group Population","100","% of Total Ethnic Group Population","563696","56075912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Other","ONS 2011 5+1","Female","0.881072477","% of Total Age Group Population","100","% of Total Ethnic Group Population","251128","28502536"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","All","Other","ONS 2011 5+1","Male","1.133586254","% of Total Age Group Population","100","% of Total Ethnic Group Population","312568","27573376"
